Year,Volcano [W/m2],Solar [W/m2],Anthropogenic [W/m2],Total radiative forcing [W/m2],Carbon dioxide [ppm],Observed Temperature [C]
1879,0.202,-0.030,0.196,0.368,290,
1880,0.216,-0.009,0.194,0.400,291,0
1881,0.223,0.011,0.196,0.429,291,0.07
1882,0.111,0.021,0.208,0.340,292,0.02
1883,-0.803,0.022,0.217,-0.564,292,0.01
1884,-1.537,0.011,0.225,-1.302,293,-0.04
1885,-0.944,-0.011,0.236,-0.719,293,-0.04
1886,-0.449,-0.032,0.244,-0.236,293,-0.01
1887,-0.321,-0.044,0.248,-0.117,294,-0.07
1888,-0.211,-0.051,0.245,-0.017,294,0.01
1889,-0.278,-0.053,0.246,-0.085,294,0.11
1890,-0.332,-0.040,0.248,-0.123,294,-0.11
1891,-0.262,-0.012,0.246,-0.028,294,0.01
1892,-0.088,0.013,0.246,0.171,294,-0.04
1893,0.060,0.034,0.246,0.340,295,-0.05
1894,0.169,0.044,0.246,0.459,295,-0.05
1895,0.162,0.030,0.243,0.435,295,0.03
1896,0.017,0.002,0.244,0.263,295,0.14
1897,-0.065,-0.019,0.247,0.163,295,0.17
1898,0.038,-0.030,0.251,0.259,295,0.02
1899,0.151,-0.037,0.254,0.368,296,0.13
1900,0.202,-0.045,0.258,0.415,296,0.2
1901,0.192,-0.053,0.260,0.398,296,0.13
1902,-0.257,-0.046,0.262,-0.042,296,0.04
1903,-0.651,-0.016,0.263,-0.403,297,-0.02
1904,-0.356,0.009,0.266,-0.082,297,-0.06
1905,0.002,0.013,0.270,0.285,298,0.04
1906,0.100,0.016,0.273,0.390,298,0.09
1907,0.076,0.018,0.276,0.369,299,-0.11
1908,0.088,0.014,0.285,0.387,299,-0.05
1909,0.154,0.001,0.298,0.453,299,-0.07
1910,0.189,-0.019,0.304,0.474,300,-0.05
1911,0.195,-0.034,0.314,0.475,300,-0.06
1912,-0.049,-0.041,0.328,0.238,300,-0.04
1913,-0.157,-0.039,0.338,0.143,301,-0.02
1914,0.056,-0.019,0.351,0.388,301,0.13
1915,0.159,0.020,0.366,0.545,301,0.19
1916,0.188,0.058,0.374,0.619,302,-0.02
1917,0.196,0.078,0.381,0.655,302,-0.11
1918,0.202,0.072,0.389,0.663,302,-0.05
1919,0.195,0.043,0.403,0.641,303,0.08
1920,0.111,0.014,0.414,0.539,303,0.09
1921,0.096,-0.008,0.426,0.514,303,0.14
1922,0.181,-0.021,0.439,0.599,304,0.02
1923,0.202,-0.022,0.439,0.619,304,0.06
1924,0.189,-0.009,0.441,0.622,305,0.06
1925,0.189,0.015,0.453,0.657,305,0.11
1926,0.197,0.040,0.464,0.701,305,0.26
1927,0.195,0.055,0.471,0.721,306,0.13
1928,0.146,0.051,0.478,0.675,306,0.15
1929,0.096,0.041,0.487,0.624,307,0.02
1930,0.122,0.033,0.498,0.653,307,0.2
